Statistics for AES encryption in CBC mode:
Message  1: 130/256 bits flipped in ciphertext (50.78125%)
Message  2: 120/256 bits flipped in ciphertext (46.87500%)
Message  3: 122/256 bits flipped in ciphertext (47.65625%)
Message  4: 142/256 bits flipped in ciphertext (55.46875%)
Message  5: 130/256 bits flipped in ciphertext (50.78125%)
Message  6: 135/256 bits flipped in ciphertext (52.73438%)
Message  7: 134/256 bits flipped in ciphertext (52.34375%)
Message  8: 131/256 bits flipped in ciphertext (51.17188%)
Message  9: 131/256 bits flipped in ciphertext (51.17188%)
Message 10: 118/256 bits flipped in ciphertext (46.09375%)
Message 11: 127/256 bits flipped in ciphertext (49.60938%)
Message 12: 126/256 bits flipped in ciphertext (49.21875%)
Message 13: 125/256 bits flipped in ciphertext (48.82812%)
Message 14: 126/256 bits flipped in ciphertext (49.21875%)
Message 15: 127/256 bits flipped in ciphertext (49.60938%)
Message 16: 123/256 bits flipped in ciphertext (48.04688%)
Message 17: 146/256 bits flipped in ciphertext (57.03125%)
Message 18: 136/256 bits flipped in ciphertext (53.12500%)
Message 19: 105/256 bits flipped in ciphertext (41.01562%)
Message 20: 120/256 bits flipped in ciphertext (46.87500%)
Message 21: 128/256 bits flipped in ciphertext (50.00000%)
Message 22: 127/256 bits flipped in ciphertext (49.60938%)
Message 23: 133/256 bits flipped in ciphertext (51.95312%)
Message 24: 111/256 bits flipped in ciphertext (43.35938%)
Message 25: 122/256 bits flipped in ciphertext (47.65625%)
Message 26: 142/256 bits flipped in ciphertext (55.46875%)
Message 27: 131/256 bits flipped in ciphertext (51.17188%)
Message 28: 122/256 bits flipped in ciphertext (47.65625%)
Message 29: 126/256 bits flipped in ciphertext (49.21875%)
Message 30: 139/256 bits flipped in ciphertext (54.29688%)
Message 31: 146/256 bits flipped in ciphertext (57.03125%)
Message 32: 139/256 bits flipped in ciphertext (54.29688%)
Message 33: 120/256 bits flipped in ciphertext (46.87500%)
Message 34: 130/256 bits flipped in ciphertext (50.78125%)
Message 35: 133/256 bits flipped in ciphertext (51.95312%)
Message 36: 140/256 bits flipped in ciphertext (54.68750%)
Message 37: 136/256 bits flipped in ciphertext (53.12500%)
Message 38: 139/256 bits flipped in ciphertext (54.29688%)
Message 39: 118/256 bits flipped in ciphertext (46.09375%)
Message 40: 136/256 bits flipped in ciphertext (53.12500%)
Message 41: 122/256 bits flipped in ciphertext (47.65625%)
Message 42: 128/256 bits flipped in ciphertext (50.00000%)
Message 43: 119/256 bits flipped in ciphertext (46.48438%)
Message 44: 137/256 bits flipped in ciphertext (53.51562%)
Message 45: 122/256 bits flipped in ciphertext (47.65625%)
Message 46: 116/256 bits flipped in ciphertext (45.31250%)
Message 47: 121/256 bits flipped in ciphertext (47.26562%)
Message 48: 128/256 bits flipped in ciphertext (50.00000%)
Message 49: 136/256 bits flipped in ciphertext (53.12500%)
Message 50: 134/256 bits flipped in ciphertext (52.34375%)
Message 51: 138/256 bits flipped in ciphertext (53.90625%)
Message 52: 120/256 bits flipped in ciphertext (46.87500%)
Message 53: 128/256 bits flipped in ciphertext (50.00000%)
Message 54: 122/256 bits flipped in ciphertext (47.65625%)
Message 55: 134/256 bits flipped in ciphertext (52.34375%)
Message 56: 126/256 bits flipped in ciphertext (49.21875%)
Message 57: 117/256 bits flipped in ciphertext (45.70312%)
Message 58: 123/256 bits flipped in ciphertext (48.04688%)
Message 59: 144/256 bits flipped in ciphertext (56.25000%)
Message 60: 130/256 bits flipped in ciphertext (50.78125%)
Message 61: 121/256 bits flipped in ciphertext (47.26562%)
Message 62: 150/256 bits flipped in ciphertext (58.59375%)
Message 63: 136/256 bits flipped in ciphertext (53.12500%)
Message 64: 131/256 bits flipped in ciphertext (51.17188%)
Message 65: 258/256 bits flipped in ciphertext (100.78125%)
Message 66: 139/256 bits flipped in ciphertext (54.29688%)
Message 67: 128/256 bits flipped in ciphertext (50.00000%)
Message 68: 111/256 bits flipped in ciphertext (43.35938%)
Message 69: 124/256 bits flipped in ciphertext (48.43750%)
Message 70: 139/256 bits flipped in ciphertext (54.29688%)
Message 71: 131/256 bits flipped in ciphertext (51.17188%)
Message 72: 127/256 bits flipped in ciphertext (49.60938%)
Message 73: 133/256 bits flipped in ciphertext (51.95312%)
Message 74: 128/256 bits flipped in ciphertext (50.00000%)
Message 75: 134/256 bits flipped in ciphertext (52.34375%)
Message 76: 121/256 bits flipped in ciphertext (47.26562%)
Message 77: 121/256 bits flipped in ciphertext (47.26562%)
Message 78: 137/256 bits flipped in ciphertext (53.51562%)

Average bits flipped: 51.01161858974359%
