Statistics for AES encryption in ECB mode:
Message  1: 63/256 bits flipped in ciphertext (24.60938%)
Message  2: 67/256 bits flipped in ciphertext (26.17188%)
Message  3: 70/256 bits flipped in ciphertext (27.34375%)
Message  4: 63/256 bits flipped in ciphertext (24.60938%)
Message  5: 57/256 bits flipped in ciphertext (22.26562%)
Message  6: 59/256 bits flipped in ciphertext (23.04688%)
Message  7: 67/256 bits flipped in ciphertext (26.17188%)
Message  8: 64/256 bits flipped in ciphertext (25.00000%)
Message  9: 61/256 bits flipped in ciphertext (23.82812%)
Message 10: 63/256 bits flipped in ciphertext (24.60938%)
Message 11: 66/256 bits flipped in ciphertext (25.78125%)
Message 12: 56/256 bits flipped in ciphertext (21.87500%)
Message 13: 72/256 bits flipped in ciphertext (28.12500%)
Message 14: 59/256 bits flipped in ciphertext (23.04688%)
Message 15: 68/256 bits flipped in ciphertext (26.56250%)
Message 16: 60/256 bits flipped in ciphertext (23.43750%)
Message 17: 57/256 bits flipped in ciphertext (22.26562%)
Message 18: 65/256 bits flipped in ciphertext (25.39062%)
Message 19: 59/256 bits flipped in ciphertext (23.04688%)
Message 20: 66/256 bits flipped in ciphertext (25.78125%)
Message 21: 57/256 bits flipped in ciphertext (22.26562%)
Message 22: 66/256 bits flipped in ciphertext (25.78125%)
Message 23: 60/256 bits flipped in ciphertext (23.43750%)
Message 24: 58/256 bits flipped in ciphertext (22.65625%)
Message 25: 59/256 bits flipped in ciphertext (23.04688%)
Message 26: 73/256 bits flipped in ciphertext (28.51562%)
Message 27: 63/256 bits flipped in ciphertext (24.60938%)
Message 28: 60/256 bits flipped in ciphertext (23.43750%)
Message 29: 60/256 bits flipped in ciphertext (23.43750%)
Message 30: 56/256 bits flipped in ciphertext (21.87500%)
Message 31: 59/256 bits flipped in ciphertext (23.04688%)
Message 32: 62/256 bits flipped in ciphertext (24.21875%)
Message 33: 64/256 bits flipped in ciphertext (25.00000%)
Message 34: 69/256 bits flipped in ciphertext (26.95312%)
Message 35: 62/256 bits flipped in ciphertext (24.21875%)
Message 36: 63/256 bits flipped in ciphertext (24.60938%)
Message 37: 67/256 bits flipped in ciphertext (26.17188%)
Message 38: 69/256 bits flipped in ciphertext (26.95312%)
Message 39: 57/256 bits flipped in ciphertext (22.26562%)
Message 40: 63/256 bits flipped in ciphertext (24.60938%)
Message 41: 66/256 bits flipped in ciphertext (25.78125%)
Message 42: 62/256 bits flipped in ciphertext (24.21875%)
Message 43: 67/256 bits flipped in ciphertext (26.17188%)
Message 44: 69/256 bits flipped in ciphertext (26.95312%)
Message 45: 69/256 bits flipped in ciphertext (26.95312%)
Message 46: 64/256 bits flipped in ciphertext (25.00000%)
Message 47: 58/256 bits flipped in ciphertext (22.65625%)
Message 48: 60/256 bits flipped in ciphertext (23.43750%)
Message 49: 66/256 bits flipped in ciphertext (25.78125%)
Message 50: 62/256 bits flipped in ciphertext (24.21875%)
Message 51: 73/256 bits flipped in ciphertext (28.51562%)
Message 52: 73/256 bits flipped in ciphertext (28.51562%)
Message 53: 77/256 bits flipped in ciphertext (30.07812%)
Message 54: 57/256 bits flipped in ciphertext (22.26562%)
Message 55: 65/256 bits flipped in ciphertext (25.39062%)
Message 56: 67/256 bits flipped in ciphertext (26.17188%)
Message 57: 68/256 bits flipped in ciphertext (26.56250%)
Message 58: 68/256 bits flipped in ciphertext (26.56250%)
Message 59: 58/256 bits flipped in ciphertext (22.65625%)
Message 60: 68/256 bits flipped in ciphertext (26.56250%)
Message 61: 67/256 bits flipped in ciphertext (26.17188%)
Message 62: 67/256 bits flipped in ciphertext (26.17188%)
Message 63: 60/256 bits flipped in ciphertext (23.43750%)
Message 64: 58/256 bits flipped in ciphertext (22.65625%)
Message 65: 55/256 bits flipped in ciphertext (21.48438%)
Message 66: 65/256 bits flipped in ciphertext (25.39062%)
Message 67: 73/256 bits flipped in ciphertext (28.51562%)
Message 68: 63/256 bits flipped in ciphertext (24.60938%)
Message 69: 64/256 bits flipped in ciphertext (25.00000%)
Message 70: 65/256 bits flipped in ciphertext (25.39062%)
Message 71: 63/256 bits flipped in ciphertext (24.60938%)
Message 72: 58/256 bits flipped in ciphertext (22.65625%)
Message 73: 64/256 bits flipped in ciphertext (25.00000%)
Message 74: 82/256 bits flipped in ciphertext (32.03125%)
Message 75: 66/256 bits flipped in ciphertext (25.78125%)
Message 76: 57/256 bits flipped in ciphertext (22.26562%)
Message 77: 57/256 bits flipped in ciphertext (22.26562%)
Message 78: 61/256 bits flipped in ciphertext (23.82812%)

Average bits flipped: 24.89483173076923%
